Product Name,Filename,Category,Old Meta Title,Meta Title (SEO),Old Meta Description,Meta Description (SEO),Meta Keywords,Description,Features,Applications,Specs Table,Detailed Specs
Gum Rosin (Colophony),gum-rosin.htm,Oleo Chemicals,Gum Rosin (Colophony) Manufacturer India | Santosh Polymers,Gum Rosin (Colophony) Manufacturer | Santosh Polymers,"Leading gum rosin manufacturer India in Kurukshetra, Haryana. High-purity Gum Rosin for paints, rubber, and industrial coatings. Inquire for bulk pricing.",Looking for high-quality Gum Rosin (Colophony)? Santosh Polymers is a leading manufacturer & supplier in India. Enquire today for bulk pricing & specs!,"Gum Rosin (Colophony), Gum Rosin (Colophony) manufacturer, Gum Rosin (Colophony) supplier, buy Gum Rosin (Colophony) in bulk, Gum Rosin (Colophony) price India, Santosh Polymers, Haryana, Kurukshetra, Ladwa","Gum Rosin (Colophony) is a natural, solid resin obtained from the oleoresin of pine trees, offering excellent adhesive, binding, and film-forming properties.","Natural origin derived from pine tree oleoresin.
Excellent tackifier and binder for adhesives and sealants.
Superior film-forming and emulsifying characteristics.
High acid value for reactive derivative manufacturing.
Good solubility in organic solvents and oils.","Adhesives, varnishes, printing inks, paper sizing, rubber compounding, soldering fluxes, and soap manufacturing.","Business Type: Manufacturer, Supplier, Trader
CAS No: 8050-09-7
Form: Solid Brittle Lumps
Color: Yellow to Amber","Acid Value: 155-180 mg KOH/g
Softening Point: 70-80 °C
Saponification Value: 160 min
Ash Content: Max 0.5%
Volatile Matter: Max 2.0%"
Pine Oil Industrial,pine-oil-industrial.htm,Oleo Chemicals,Pine Oil Industrial Manufacturer India | Santosh Polymers,Pine Oil Industrial Manufacturer | Santosh Polymers,"Leading pine oil industrial manufacturer in Kurukshetra, Haryana. High-purity Pine Oil Industrial for paints, rubber, and industrial coatings. Inquire for bu...",Looking for high-quality Pine Oil Industrial? Santosh Polymers is a leading manufacturer & supplier in India. Enquire today for bulk pricing & specs!,"Pine Oil Industrial, Pine Oil Industrial manufacturer, Pine Oil Industrial supplier, buy Pine Oil Industrial in bulk, Pine Oil Industrial price India, Santosh Polymers, Haryana, Kurukshetra, Ladwa","Pine Oil is a natural essential oil extracted from pine tree resins and needles, valued for its strong antimicrobial action, solvency, and fresh pine aroma.","Natural plant-based solvent and emulsifier.
Powerful antimicrobial and disinfectant properties.
Excellent grease-cutting and cleaning performance.
Pleasant fresh pine fragrance for consumer products.
Biodegradable and eco-friendly alternative to synthetic solvents.","Household cleaners, industrial disinfectants, paint solvents, fragrance formulations, and textile processing.","Business Type: Manufacturer, Supplier, Trader
CAS No: 8002-09-3
Form: Clear to Pale Yellow Liquid
Odor: Fresh, Piney","Specific Gravity at 27°C: 0.855-0.935
Refractive Index at 20°C: 1.470-1.490
Total Terpene Alcohols: Min 85%
Moisture: Max 1.0%
Flash Point: >102 °C"
Ricinoleic Acid,ricinoleic-acid.htm,Oleo Chemicals,Ricinoleic Acid Manufacturer & Supplier India | Santosh Polymers,Ricinoleic Acid Manufacturer & Supplier | Santosh Polymers,"Leading ricinoleic acid manufacturer India in Kurukshetra, Haryana. High-purity Ricinoleic Acid for paints, rubber, and industrial coatings. Inquire for bulk...",Looking for high-quality Ricinoleic Acid? Santosh Polymers is a leading manufacturer & supplier in India. Enquire today for bulk pricing & specs!,"Ricinoleic Acid, Ricinoleic Acid manufacturer, Ricinoleic Acid supplier, buy Ricinoleic Acid in bulk, Ricinoleic Acid price India, Santosh Polymers, Haryana, Kurukshetra, Ladwa","Ricinoleic Acid (12-hydroxy-9-octadecenoic acid) is a unique hydroxy fatty acid derived from castor oil, valued for its dual hydroxyl and unsaturated functionality.","Contains both hydroxyl group and double bond for high reactivity.
Excellent lubricity and surface-active properties.
Bio-based renewable alternative to petroleum intermediates.
High purity with consistent batch quality.
Versatile building block for specialty chemical synthesis.","Lubricant additives, cosmetic emulsions, zinc ricinoleate production, alkyd resins, and specialty chemical intermediates.","Business Type: Manufacturer, Supplier, Trader
CAS No: 141-22-0
Form: Clear to Pale Yellow Viscous Liquid
Purity: Min 89%","Acid Value: 175-185 mg KOH/g
Hydroxyl Value: 150-165 mg KOH/g
Iodine Value: 80-92 g I2/100g
Saponification Value: 179-190 mg KOH/g
Specific Gravity at 25°C: 0.940-0.950"
Monobasic Fatty Acid,monobasic-fatty-acid.htm,Oleo Chemicals,Monobasic Fatty Acid Manufacturer India | Santosh Polymers,Monobasic Fatty Acid Manufacturer | Santosh Polymers,"Leading monobasic fatty acid manufacturer in Kurukshetra, Haryana. High-purity Monobasic Fatty Acid for paints, rubber, and industrial coatings. Inquire for ...",Looking for high-quality Monobasic Fatty Acid? Santosh Polymers is a leading manufacturer & supplier in India. Enquire today for bulk pricing & specs!,"Monobasic Fatty Acid, Monobasic Fatty Acid manufacturer, Monobasic Fatty Acid supplier, buy Monobasic Fatty Acid in bulk, Monobasic Fatty Acid price India, Santosh Polymers, Haryana, Kurukshetra, Ladwa","Monobasic Fatty Acid is a high-concentration fatty acid mixture obtained from vegetable oil refining, serving as a cost-effective feedstock for industrial chemical processes.","High total fatty matter content for efficient reactions.
Cost-effective raw material for soap and detergent manufacturing.
Consistent composition for reliable processing.
Natural vegetable-based renewable feedstock.
Versatile intermediate for multiple downstream applications.","Soap manufacturing, animal feed formulations, biodiesel production, rubber compounding, and chemical intermediate synthesis.","Business Type: Manufacturer, Supplier, Trader
Form: Liquid
Color: Dark Brown
Grade: Industrial Grade","Total Fatty Matter: Min 98%
Free Fatty Acids: Min 50%
Moisture: Max 1.0%
Saponification Value: 190-205 mg KOH/g"
Soya Fatty Acid (Soya Fatty Eco),soya-fatty-acid-eco.htm,Oleo Chemicals,Soya Fatty Acid (Soya Fatty Eco) Manufacturer India | Santosh Polymers,Soya Fatty Acid (Soya Fatty Eco) Supplier | Santosh Polymers,"Leading soya fatty acid manufacturer India in Kurukshetra, Haryana. High-purity Soya Fatty Acid for paints, rubber, and industrial coatings. Inquire for bulk...",Looking for high-quality Soya Fatty Acid (Soya Fatty Eco)? Santosh Polymers is India's leading manufacturer & supplier. Enquire for bulk pricing!,"Soya Fatty Acid (Soya Fatty Eco), Soya Fatty Acid (Soya Fatty Eco) manufacturer, Soya Fatty Acid (Soya Fatty Eco) supplier, buy Soya Fatty Acid (Soya Fatty Eco) in bulk, Soya Fatty Acid (Soya Fatty Eco) price India, Santosh Polymers, Haryana, Kurukshetra, Ladwa","Soya Fatty Acid is a high-unsaturated fatty acid mixture derived from soybean oil, rich in linoleic and oleic acids, offering excellent drying and reactivity properties.","High iodine value for excellent drying performance.
Low titer value remaining liquid at lower temperatures.
Environmentally friendly bio-based raw material.
High purity with minimal unsaponifiable content.
Consistent fatty acid profile for reliable industrial processing.","Alkyd resin production, paint and coating manufacturing, soap and detergent industry, lubricants, and textile finishing.","Business Type: Manufacturer, Supplier, Trader
Form: Liquid
Color: Brownish Yellow
Purity: 99%","Acid Value: 195-205 mg KOH/g
Iodine Value: 120-135 g I2/100g
Saponification Value: 196-210 mg KOH/g
Titre Point: 15-24 °C
Moisture: Max 0.2%"
Turmeric Essential Oil,turmeric-essential-oil.htm,Herbal Extracts,Turmeric Essential Oil Manufacturer India | Santosh Polymers,Turmeric Essential Oil Manufacturer | Santosh Polymers,"Pure turmeric essential oil manufacturer in Kurukshetra, Haryana. Premium organic Turmeric Essential Oil for cosmetics & pharma. Inquire for custom bulk pack...","Get pure, high-grade Turmeric Essential Oil from Santosh Polymers, India's leading manufacturer & exporter of herbal extracts. Contact us for bulk pricing!","Turmeric Essential Oil, Turmeric Essential Oil manufacturer, Turmeric Essential Oil supplier, buy Turmeric Essential Oil in bulk, Turmeric Essential Oil price India, Santosh Polymers, Haryana, Kurukshetra, Ladwa","Turmeric Essential Oil is extracted from turmeric rhizomes, rich in ar-turmerone and turmerone compounds, offering excellent therapeutic and antimicrobial qualities.","100% natural, pure, and steam-distilled essential oil.
High turmerone and ar-turmerone content (anti-inflammatory).
Distinctive warm, spicy, and earthy aroma.
100% pure, natural, and steam-distilled essential oil.","Aromatherapy, skincare formulations, natural antiseptic creams, and fragrance in soaps.","Business Type: Manufacturer, Supplier, Trader
Type: Essential Oil
Material: Turmeric
Color: Yellow","Packaging Type: Glass Bottle
Application: Aromatherapy, Skincare
Scent: Earthy, Spicy
Organic: Yes
Origin: India"
Turmeric Extract,turmeric-extract.htm,Herbal Extracts,Turmeric Extract Manufacturer & Supplier India | Santosh Polymers,Turmeric Extract Manufacturer & Supplier | Santosh Polymers,"Pure turmeric extract manufacturer India in Kurukshetra, Haryana. Premium organic Turmeric Extract for cosmetics & pharma. Inquire for custom bulk packaging.","Get pure, high-grade Turmeric Extract from Santosh Polymers, India's leading manufacturer & exporter of herbal extracts. Contact us for bulk pricing!","Turmeric Extract, Turmeric Extract manufacturer, Turmeric Extract supplier, buy Turmeric Extract in bulk, Turmeric Extract price India, Santosh Polymers, Haryana, Kurukshetra, Ladwa","Standardized turmeric extract containing high concentrations of curcuminoids, known for outstanding antioxidant and coloring characteristics.","Standardized curcumin content (up to 95%).
Natural vibrant yellow pigment.
High antioxidant and anti-inflammatory value.
Standardized curcuminoid content (up to 95%) for maximum potency.","Herbal supplements, natural food coloring, cosmetics, and functional health products.","Business Type: Manufacturer, Supplier, Trader
Form: Powder
Color: Yellow
Country of Origin: India","Benefits: Anti-inflammatory Properties
Storage: Cool, Dry Place"
Turmeric Oleoresin,turmeric-oleoresin.htm,Herbal Extracts,Turmeric Oleoresin Manufacturer India | Santosh Polymers,Turmeric Oleoresin Manufacturer | Santosh Polymers,"Pure turmeric oleoresin manufacturer in Kurukshetra, Haryana. Premium organic Turmeric Oleoresin for cosmetics & pharma. Inquire for custom bulk packaging.","Get pure, high-grade Turmeric Oleoresin from Santosh Polymers, India's leading manufacturer & exporter of herbal extracts. Contact us for bulk pricing!","Turmeric Oleoresin, Turmeric Oleoresin manufacturer, Turmeric Oleoresin supplier, buy Turmeric Oleoresin in bulk, Turmeric Oleoresin price India, Santosh Polymers, Haryana, Kurukshetra, Ladwa",Turmeric Oleoresin is a natural concentrate of turmeric extract containing active curcuminoids and essential volatile oils.,"Strong flavor and coloring capacity in low concentrations.
Natural preservative and antimicrobial qualities.
Consistent active profile of curcumin and turmeric oils.
Highly concentrated flavor and coloring profile.","Food seasoning, snacks flavoring, pickles and sauces flavorings, and functional health supplements.","Business Type: Manufacturer, Supplier, Trader
Country of Origin: India
Feature: Natural Taste, Non Harmful
Application: Herbal Products","Form: Finger
Color: Light Yellow
Cultivation Type: Natural"
Akd Wax Emulsion,akd-wax-emulsion.htm,Paper Chemicals,Akd Wax Emulsion Manufacturer & Supplier India | Santosh Polymers,Akd Wax Emulsion Manufacturer & Supplier | Santosh Polymers,"Premium akd wax emulsion manufacturer in Ladwa, Haryana. High-efficiency Akd Wax Emulsion to optimize paper sizing & strength. Contact us for wholesale quotes.",Enhance production with premium Akd Wax Emulsion. Santosh Polymers is India's trusted manufacturer of paper sizing chemicals. Request a quote today!,"Akd Wax Emulsion, Akd Wax Emulsion manufacturer, Akd Wax Emulsion supplier, buy Akd Wax Emulsion in bulk, Akd Wax Emulsion price India, Santosh Polymers, Haryana, Kurukshetra, Ladwa","Alkyl Ketene Dimer (AKD) Wax Emulsion is a high-performance, reactive neutral sizing agent engineered for the paper and paperboard industry. It chemically reacts with the hydroxyl groups of cellulose fibers to form a covalent bond, imparting excellent resistance against water, ink, and acidic liquid penetration. It operates in neutral-to-alkaline pH ranges, helping preserve paper strength and prevent aging.","Chemically bonds with cellulose fibers for superior sizing stability.
Significantly improves paper surface strength and sizing value (Cobb value).
Enhances surface smoothness, brightness, and high-fidelity printability.
Operates in alkaline/neutral papermaking environments, preventing fiber degradation.
Reduces dusting and fluffing during high-speed cutting and printing.","Sizing agent in writing paper, printing paper, photocopy paper, and paperboard manufacturing.","Business Type: Manufacturer, Supplier, Trader
Type: Wax Emulsion
Material: Alkyl Ketene Dimer (AKD)
Color: White","Packaging: Plastic Container
Application: Used In Papermaking As A Sizing Agent
Storage: Store In A Cool, Dry Place
Shelf Life: 1 Year
Safety Information: Avoid Contact With Eyes And Skin. Use Appropriate Protective Equipment."
Defoamer,defoamer.htm,Paper Chemicals,Defoamer Manufacturer & Supplier India | Santosh Polymers,Defoamer Manufacturer & Supplier | Santosh Polymers,"Premium process defoamer manufacturer India in Ladwa, Haryana. High-efficiency Defoamer to optimize paper sizing & strength. Contact us for wholesale quotes.",Enhance production with premium Defoamer. Santosh Polymers is India's trusted manufacturer of paper sizing chemicals. Request a quote today!,"Defoamer, Defoamer manufacturer, Defoamer supplier, buy Defoamer in bulk, Defoamer price India, Santosh Polymers, Haryana, Kurukshetra, Ladwa",Highly active industrial defoamer and anti-foaming agent designed to control and eliminate foam in aqueous processing systems.,"Rapid foam knockdown and long-lasting foam prevention.
Stable and active in a wide range of pH and temperature conditions.
Disperses easily in water and processing liquids.
Improves industrial process efficiency and fluid flow rates.
Excellent chemical stability in highly alkaline or acidic aqueous systems.","Foam control in pulp and paper mills, industrial wastewater treatment plants, textile dyeing, and chemical manufacturing.","Business Type: Manufacturer, Supplier, Trader
Application: Industrial Applications
Type: Liquid
Color: Clear","Storage: Cool, Dry Place"
DSR Dry Strength Resin,dsr-dry-strength-resin.htm,Paper Chemicals,DSR Dry Strength Resin Manufacturer India | Santosh Polymers,DSR Dry Strength Resin Manufacturer | Santosh Polymers,"Premium dry strength resin manufacturer in Ladwa, Haryana. High-efficiency DSR Dry Strength Resin to optimize paper sizing & strength. Contact us for wholesa...",Enhance production with premium DSR Dry Strength Resin. Santosh Polymers is India's trusted manufacturer of paper sizing chemicals. Request a quote today!,"DSR Dry Strength Resin, DSR Dry Strength Resin manufacturer, DSR Dry Strength Resin supplier, buy DSR Dry Strength Resin in bulk, DSR Dry Strength Resin price India, Santosh Polymers, Haryana, Kurukshetra, Ladwa","Dry Strength Resin (DSR) is a specialty paper chemical designed to increase the dry strength, tensile strength, and burst strength of paper sheets.","Significantly increases sheet strength per unit bond.
Improves retention of fillers, starch, and fines.
Works effectively across a wide pH range (neutral to acidic).
Enhances water drainage and paper machine run speed.
Significantly increases tensile strength, bursting strength, and RCT values.","Strength additive in kraft paper, writing paper, duplex board, and corrugated paper manufacturing.","Business Type: Manufacturer, Supplier, Trader
Type: Resin
Material: Polymer
Packaging Type: Drums","Application: Improves Paper Strength
Compatibility: Suitable For Various Paper Grades
Storage: Store In A Cool, Dry Place
Shelf Life: 1 Year
Safety Information: Handle With Care, Wear Appropriate PPE"
Violet Ink,violet-ink.htm,Paper Chemicals,Violet Ink Manufacturer & Supplier India | Santosh Polymers,Violet Ink Manufacturer & Supplier | Santosh Polymers,"Premium violet ink manufacturer India in Ladwa, Haryana. High-efficiency Violet Ink to optimize paper sizing & strength. Contact us for wholesale quotes.",Enhance production with premium Violet Ink. Santosh Polymers is India's trusted manufacturer of paper sizing chemicals. Request a quote today!,"Violet Ink, Violet Ink manufacturer, Violet Ink supplier, buy Violet Ink in bulk, Violet Ink price India, Santosh Polymers, Haryana, Kurukshetra, Ladwa","High-performance industrial violet ink designed for branding, marking, and stamping of wooden packaging materials, crates, and sacks.","Vibrant, highly visible purple color.
Quick drying time on absorbent surfaces.
Weather, water, and UV fade resistant.
Excellent absorption on porous wooden and jute materials.
Vibrant, high-contrast violet color for clear packaging markings.","Stencil marking of jute bags, stamp marking of wooden shipping crates, and industrial packaging identification.","Business Type: Manufacturer, Supplier, Trader
Application: Printing
Packaging Type: Bottle
Form: Liquid","Color: Violet
Country of Origin: India"
Corrugated Packaging Boxes,corrugated-packaging-boxes.htm,Packaging Solutions,Corrugated Packaging Boxes Manufacturer India | Santosh Polymers,Corrugated Packaging Boxes Manufacturer | Santosh Polymers,Eco-friendly corrugated packaging boxes manufacturer in Haryana. Sustainable Corrugated Packaging Boxes for secure shipping & retail packaging. Request whole...,Durable and customized Corrugated Packaging Boxes by Santosh Polymers. Premium quality packaging solutions for industrial use. Request a free quote today!,"Corrugated Packaging Boxes, Corrugated Packaging Boxes manufacturer, Corrugated Packaging Boxes supplier, buy Corrugated Packaging Boxes in bulk, Corrugated Packaging Boxes price India, Santosh Polymers, Haryana, Kurukshetra, Ladwa","Industrial grade corrugated packaging boxes manufactured from high-strength kraft paper to provide exceptional durability, compression strength, and protection during transit.","Eco-friendly, biodegradable, and 100% recyclable.
High load-bearing capacity and puncture resistance.
Fully customizable sizes, printing designs, and thicknesses.
Excellent shock-absorbing structure to safeguard fragile goods.
High resistance to punctures, bursting, and vertical crushing loads.","Packaging and shipping of fruits, vegetables, food products, industrial goods, and e-commerce shipments.","Business Type: Manufacturer, Supplier, Trader
Type: Packaging Boxes
Material: Corrugated Cardboard
Color: Brown","Packaging: Bulk
Application: Shipping And Storage
Size: Various Sizes Available
Design: Plain
Durability: High
Recyclable: Yes"
Pulp Moulded Trays,pulp-moulded-trays.htm,Packaging Solutions,Pulp Moulded Trays Manufacturer India | Santosh Polymers,Pulp Moulded Trays Manufacturer | Santosh Polymers,Eco-friendly pulp moulded trays manufacturer in Haryana. Sustainable Pulp Moulded Trays for secure shipping & retail packaging. Request wholesale samples.,Durable and customized Pulp Moulded Trays by Santosh Polymers. Premium quality packaging solutions for industrial use. Request a free quote today!,"Pulp Moulded Trays, Pulp Moulded Trays manufacturer, Pulp Moulded Trays supplier, buy Pulp Moulded Trays in bulk, Pulp Moulded Trays price India, Santosh Polymers, Haryana, Kurukshetra, Ladwa","Eco-friendly molded fiber trays manufactured from 100% recycled paper pulp, offering exceptional shock absorption and breathable containment for agricultural produce.","100% biodegradable, compostable, and eco-friendly.
High shock absorption to prevent bruising of fruit and eggs.
Space-saving nested design for easy storage and handling.
Breathable fiber structure prevents moisture accumulation and rot.
100% biodegradable, compostable, and plastic-free packaging.","Packaging and transport of eggs, apples, melons, avocados, and protective packaging inserts for electronics.","Business Type: Manufacturer, Supplier, Trader
Type: Trays
Material: Pulp
Color: Brown","Packaging Type: Bulk
Application: Storage And Transportation
Size: Various Sizes Available"
